user,text,created_at
IRIMFA_EN,"🔽 In a telephone conversation, Iranian Foreign Minister Hossein Amirabdollahian congratulated Qatari Prime Minister and Foreign Minister Sheikh Mohammad bin Abdul Rahman Al Thani on Eid al-Fitr. 
The top Qatari diplomat also congratulated Amirabdollahian on the occasion.",2023-04-21 16:12:27+00:00
IRIMFA_EN,🔽 Iranian Foreign Minister Hossein Amirabdollahian and Qatari Prime Minister and Foreign Minister Sheikh Mohammad bin Abdul Rahman Al Thani have telephone conversation https://t.co/t40lmraf2M,2023-04-21 16:12:25+00:00
IRIMFA_EN,"April 21 is #SaadiDay, the day of celebrating #Humanity, in commemoration of Saadi Shirazi the great Iranian🇮🇷 poet and prose writer, who says:
""Human beings are members of a whole,
in creation of one essence and one soul.
If a member is in pain,
the others unease will remain."" https://t.co/qZz7Ug67Cw",2023-04-21 12:10:20+00:00
IRIMFA_EN,⏺️ The foreign ministers of the Islamic Republic of Iran and Jordan then exchanged congratulations on behalf of the heads of states of the two countries on the occasion of Eid ul-Fitr.,2023-04-20 23:54:59+00:00
IRIMFA_EN,🔽 Safadi underlined that Iran is an important country in the region and that Jordan attaches great importance for the expansion of ties with Iran.  He also welcomed the rapprochement between Iran and Saudi Arabia and congratulated both sides on this development.,2023-04-20 23:54:55+00:00
IRIMFA_EN,🔽 Jordanian Foreign Minister Ayman al-Safadi for his part congratulated the Iranian government and people on Eid ul-Fitr and said his country is ready to expand bilateral relations with Iran.,2023-04-20 23:54:54+00:00
IRIMFA_EN,"🔽 Amirabdollahian congratulated the Jordanian fm on Eid ul-Fitr. The top Iranian diplomat further pointed to his recent trip to the Jordanian capital Amman and his meeting with the country’s King, declaring #Iran’s readiness to expand relations and cooperation with #Jordan.",2023-04-20 23:54:51+00:00
IRIMFA_EN,🔽 Iranian Foreign Minister Hossein Amirabdollahian and his Jordanian counterpart Ayman al-Safadi had a telephone conversation in which they discussed the most important issues of mutual interest at bilateral and regional levels. https://t.co/WjacvxfdYx,2023-04-20 23:54:50+00:00
IRIMFA_EN,"⏺️ Amirabdollahian and Bin Farhan Al-Saud underlined that the trend of the work of the two countries’ technical delegations has been positive and constructive, and that Iran and Saudi Arabia are moving toward increased cooperation.",2023-04-20 23:49:39+00:00
IRIMFA_EN,🔽 The Saudi foreign minister said his country will provide the necessary facilities for Iranian Hajj pilgrims and for the purpose of reopening the Iranian Embassy and consulate general in Riyadh and Jeddah.,2023-04-20 23:49:38+00:00
IRIMFA_EN,"🔽 Amirabdollahian added, “My colleagues at the Foreign Ministry and the delegation sent to Riyadh and Jeddah are trying reopen the Embassy and consulate general of the Islamic Republic of Iran in Saudi Arabia as scheduled and before the Hajj season.”",2023-04-20 23:49:36+00:00
IRIMFA_EN,"🔽During a telephone conversation with his Saudi counterpart, Iranian FM congratulated Faisal bin Farhan  on Eid al-Fitr &amp; described his recent meeting with him as well as the exchange of technical delegations tasked with reopening the embassies of the two countries as good. https://t.co/L9P9u2Nhlc",2023-04-20 23:49:35+00:00
IRIMFA_EN,"⏺️ We advise the leaders of G7 to eschew baseless and false accusations against the Islamic Republic of Iran and adopt a realistic approach based on mutual respect, in which case, Iran will give a positive response.",2023-04-20 15:18:13+00:00
IRIMFA_EN,"🔽Being a system that was born of a popular uprising that toppled a US-backed repressive regime, the Islamic Republic of Iran considers itself duty-bound &amp; committed to protect the rights and human dignity of its citizens and spares no effort to preserve and promote human rights.",2023-04-20 15:18:09+00:00
IRIMFA_EN,🔽 do not hold the moral and legal high ground to comment on human rights of the Iranian people.,2023-04-20 15:18:08+00:00
IRIMFA_EN,"🔽 &amp; we underline the need for an immediate ceasefire &amp; settlement of differences through political talks, &amp; we reaffirm our respect for the territorial integrity of Ukraine.",2023-04-19 17:52:29+00:00
IRIMFA_EN,"🔽 Since the onset of the Ukraine crisis, the IR of Iran has announced that it does not think of war as a solution to any crises, including that of Ukraine,",2023-04-19 17:52:28+00:00
IRIMFA_EN,🔽 Leveling accusations against Iran is just an irresponsible blame-game to justify the disruptive and destabilizing nature of the US military presence in the region.,2023-04-19 17:52:27+00:00
IRIMFA_EN,🔽 We remind the foreign ministers of Group7 that they owe the security of navigation in the important waterways of the Persian Gulf and the Strait of Hormuz in the past decades to the Islamic Republic of Iran’s responsible approach.,2023-04-19 17:52:26+00:00
IRIMFA_EN,🔽 The Islamic Republic of Iran also reminds the members of G7 of their international responsibility as they have complied with the illegal and inhumane sanctions of the United States against the Iranian people.,2023-04-19 17:52:24+00:00
IRIMFA_EN,"🔽 the Islamic Republic of Iran considers further interruption in the discussions as a result of the West’s miscalculation and wrong policies and approaches, and holds the Western sides responsible for the persistence of this situation.",2023-04-19 17:52:23+00:00
IRIMFA_EN,"🔽 IAEA, within the framework of the NPT &amp; the Comprehensive Safeguards Agreement, and it expects other countries to avoid acting politically and interfering in the technical cooperation between Iran and the agency through pressuring the international organization.",2023-04-19 17:52:21+00:00
KSAmofaEN,🇸🇦📞🇷🇺 | HRH Crown Prince Mohammed bin Salman makes a phone call to Russian President Vladimir Putin. https://t.co/6jKkwBI6ZR,2023-04-21 20:16:24+00:00
KSAmofaEN,"RT @AdelAljubeir: During the virtual MEF on Energy and Climate meeting held today, I confirmed the Kingdom's position on its commitment to…",2023-04-21 03:51:56+00:00
KSAmofaEN,"#Riyadh | Minister of State for Foreign Affairs, Member of the Council of Ministers, and Envoy for Climate H.E @Adelaljubeir heads the Kingdom's Delegation in Major Economies Forum on Energy and Climate. https://t.co/7s6XBkw7jS",2023-04-21 00:41:38+00:00
KSAmofaEN,🇸🇦📞 🇮🇷 | Foreign Minister HH Prince @FaisalbinFarhan receives a phone call from #Iran’s Foreign Minister @Amirabdolahian. https://t.co/q0kZ7hnXkX,2023-04-20 21:08:45+00:00
